FAC start and end times
2007-03-10/08:21    2007-03-10/10:15
2007-03-11/01:13    2007-03-11/04:17
2007-03-11/05:41    2007-03-11/08:28
2007-03-11/09:53    2007-03-11/12:28
2007-03-11/21:01    2007-03-11/23:06
2007-03-12/04:19    2007-03-12/06:54
2007-03-13/00:01    2007-03-13/02:30
2007-03-13/02:49    2007-03-13/03:36
2007-03-13/07:45    2007-03-13/08:44
2007-03-13/18:33    2007-03-13/19:56
2007-03-13/20:09    2007-03-13/21:38
2007-03-14/01:43    2007-03-14/05:48
2007-03-14/06:19    2007-03-14/06:53
2007-03-14/11:35    2007-03-14/12:16
2007-03-14/12:29    2007-03-14/13:04
2007-03-14/13:53    2007-03-14/15:10
2007-03-14/20:44    2007-03-14/21:44
2007-03-15/05:57    2007-03-15/07:08
2007-03-15/08:21    2007-03-15/09:38
2007-03-16/01:13    2007-03-16/01:54
2007-03-16/02:43    2007-03-16/04:42
2007-03-16/09:43    2007-03-16/10:18
2007-03-16/21:05    2007-03-16/23:22
2007-03-17/03:33    2007-03-17/04:59
2007-03-17/06:08    2007-03-17/07:32
2007-03-17/16:33    2007-03-17/17:08
2007-03-17/21:45    2007-03-17/23:26
2007-03-18/00:00    2007-03-18/01:54
2007-03-18/02:01    2007-03-18/04:18
2007-03-18/16:55    2007-03-18/17:42
2007-03-19/02:49    2007-03-19/03:34
2007-03-19/05:19    2007-03-19/06:12
2007-03-20/05:22    2007-03-20/06:51
2007-03-20/18:28    2007-03-20/19:15
2007-03-21/00:00    2007-03-21/01:18
2007-03-21/01:37    2007-03-21/03:36
2007-03-21/18:16    2007-03-21/19:27
2007-03-24/03:40    2007-03-24/04:15
2007-03-24/04:22    2007-03-24/05:03
2007-03-24/06:02    2007-03-24/06:32
2007-03-24/06:39    2007-03-24/11:20
2007-03-24/11:45    2007-03-24/14:51
2007-03-26/15:37    2007-03-26/17:00
2007-03-27/05:42    2007-03-27/06:17
2007-03-27/09:46    2007-03-27/10:27
2007-03-27/23:10    2007-03-27/23:40
2007-04-01/02:00    2007-04-01/03:23
2007-04-01/05:00    2007-04-01/07:04
